dataset,accuracy,precision,recall,f1,inference_time,per_sample_time,training_time
Validation,0.9951848180144456,0.999129503147181,0.9895874784454172,0.9943355990936958,0.0854644775390625,2.4207471332406884e-06,3.462468147277832
Test,0.9960063445306747,0.9986646190825933,0.9919750630057037,0.995308600898353,0.08445525169372559,2.392093459857406e-06,3.462468147277832
